"document","topic","gamma"
344,2,0.502802748889076
345,2,0.503199928612581
346,1,0.50197103517066
347,1,0.501936620890971
348,1,0.503799711754448
349,2,0.50620902535484
350,1,0.502176032599321
351,2,0.505483770546525
352,1,0.502730304349648
353,1,0.50632075281863
354,1,0.50050148046289
355,2,0.500277625960872
356,2,0.501029188588537
357,2,0.505093534434077
358,2,0.504962893216548
359,1,0.501278704726715
360,2,0.505243408145004
361,2,0.502156012754334
362,2,0.501533319195728
363,1,0.505466603984417
364,1,0.504307464930128
365,2,0.504578849768406
366,2,0.505197992785684
367,2,0.501029188588537
368,2,0.50027929999658
369,1,0.50632075281863
370,1,0.503824770277863
371,2,0.504578849768406
373,2,0.503399453251273
374,2,0.502287057583153
375,1,0.502501972803992
376,1,0.502405020368463
377,1,0.50647314462416
378,2,0.501029188588537
379,1,0.501722612125412
380,1,0.508618263411578
381,2,0.503918926933858
382,1,0.507541790344333
383,2,0.504851173470856
384,2,0.50069920201989
385,1,0.505076597563521
386,2,0.501533319195728
387,2,0.503998158166684
388,2,0.504504232751098
389,2,0.500388901053373
390,1,0.501561177422557
391,2,0.502466631718571
392,2,0.504578849768406
393,1,0.506395410075257
394,2,0.507076306884148
395,1,0.503883791401176
396,1,0.502022774705991
397,2,0.501533319195728
398,2,0.502636446967417
399,1,0.506322946865077
400,2,0.507810335265095
401,1,0.506685938783983
402,1,0.504002689265982
403,1,0.504307464930128
404,2,0.504578849768406
405,2,0.500128981656717
406,1,0.505009426068344
407,1,0.501430708075035
408,1,0.502045957845515
409,1,0.505621077665803
410,2,0.50069920201989
411,1,0.505076597563521
412,2,0.501807062792289
413,1,0.504307464930128
414,2,0.504578849768406
415,1,0.507090621624561
416,1,0.502505418821932
417,1,0.501278704726715
418,2,0.503173231987193
419,1,0.509286060377129
420,2,0.501532911707846
421,1,0.500909117012108
422,2,0.505741932929163
423,1,0.505796614148951
424,2,0.501151888213119
425,2,0.502021513888721
426,2,0.50139040381928
427,1,0.507146212733162
428,2,0.503109427364215
429,2,0.508347241916998
430,1,0.501737350085081
431,2,0.503178270600341
432,2,0.506365187027545
433,2,0.505093534434077
434,1,0.502232288896004
435,2,0.504182926322484
436,1,0.505229062918656
437,1,0.50817000727036
438,2,0.506639461804464
439,1,0.500310596688285
440,2,0.50620902535484
441,1,0.50225894965325
442,2,0.50619397432803
443,1,0.507402805282881
444,2,0.501029188588537
445,2,0.502614282299432
446,2,0.504578849768406
447,1,0.501013249302686
448,1,0.501278704726715
449,1,0.503134962772271
450,1,0.502775777165941
451,2,0.505081951971847
452,1,0.506145170280245
453,2,0.504296686092576
454,2,0.500986753640761
455,1,0.502950794502769
456,1,0.507541790344333
457,1,0.504307464930128
458,2,0.504578849768406
459,1,0.50050148046289
460,1,0.502876895942781
461,2,0.503431094886122
462,2,0.504380000648483
463,2,0.503998158166684
464,2,0.503118121427756
465,1,0.50050148046289
467,1,0.507291328639248
468,2,0.500107213432091
469,2,0.504845475579585
470,2,0.500138625536303
471,2,0.504837428846556
472,2,0.503998158166684
473,2,0.503118121427756
474,2,0.503550376685959
475,2,0.508760136146829
476,1,0.505076597563521
477,2,0.507036626744498
478,1,0.501561177422557
479,1,0.508522371203113
480,1,0.501823172311785
481,2,0.507076306884148
482,2,0.507020020047801
483,2,0.50619397432803
484,2,0.503737458961812
485,2,0.503926885205095
487,2,0.503926885205095
488,1,0.501272448944744
489,1,0.508522371203113
490,1,0.501823172311785
491,2,0.504578849768406
492,2,0.506968115168612
493,1,0.506685938783983
494,2,0.500013477859581
496,2,0.503926885205095
497,2,0.507076306884148
498,2,0.504182926322484
499,2,0.502616672971261
500,2,0.501965386682548
501,1,0.505009426068344
502,2,0.504578849768406
503,2,0.508476546481195
504,2,0.503255694358035
505,1,0.501936620890971
506,1,0.509082567775979
507,2,0.507076306884148
508,2,0.507020020047801
510,2,0.503926885205095
511,2,0.506465160434598
512,1,0.504307464930128
513,2,0.504578849768406
514,2,0.500528221153559
515,1,0.506438426994689
516,2,0.501965386682548
517,2,0.508476546481195
518,2,0.503255694358035
519,2,0.501673761043235
520,1,0.501936620890971
521,1,0.503799711754448
522,1,0.502176032599321
523,2,0.504491350478882
524,1,0.507636634179768
525,1,0.503078496074032
526,1,0.507102019528014
527,2,0.505740272059175
528,1,0.500293668628256
529,2,0.503550376685959
530,2,0.501023505551664
531,1,0.509286060377129
532,2,0.508760136146829
533,2,0.502178995912536
534,1,0.505076597563521
536,2,0.503926885205095
538,1,0.503072145387676
539,1,0.50930861303226
540,1,0.505108152969059
541,1,0.502134812286063
542,1,0.507541790344333
543,2,0.50421030991682
544,2,0.504578849768406
545,1,0.50198397443567
546,2,0.500982346737866
547,1,0.504120250145533
548,2,0.502614282299432
549,2,0.503147785974241
550,2,0.503184642143553
551,2,0.505914508388732
552,1,0.501263038665193
553,2,0.503173231987193
554,1,0.509286060377129
555,2,0.504667836650368
556,2,0.50075672673054
557,1,0.500181042094318
558,2,0.50139040381928
559,2,0.505197992785684
560,1,0.500820185858799
561,1,0.509286060377129
562,2,0.501810407764736
563,2,0.501180213405349
564,2,0.502156012754334
565,1,0.506717203117197
566,1,0.500659683849566
567,2,0.501772113649113
568,2,0.504344679775226
569,1,0.509286060377129
570,2,0.50859386807242
571,2,0.50229107270817
572,2,0.505741932929163
573,1,0.501263038665193
574,1,0.507601852732019
575,1,0.508575371375811
576,2,0.50619397432803
577,2,0.503737458961812
578,2,0.503926885205095
580,2,0.503926885205095
581,2,0.50452349023005
582,2,0.507463461961397
583,2,0.502323774322264
584,1,0.508575371375811
585,1,0.500275809931706
586,2,0.505355943265812
587,1,0.500653184590559
588,2,0.50920991147093
589,2,0.502304322677383
590,1,0.50128534092342
591,2,0.509089806619081
592,1,0.508522371203113
593,1,0.501823172311785
594,2,0.504195696927214
595,2,0.502148335897662
596,1,0.500898244708789
597,2,0.50578841717248
598,1,0.503230168391431
599,1,0.501076147955379
601,1,0.507630249683286
602,2,0.507449261124936
603,1,0.506145170280245
604,2,0.500832534925762
605,1,0.500898244708789
606,1,0.500689116570373
608,2,0.503926885205095
609,1,0.507624871459154
610,2,0.504884197294565
611,1,0.500689116570373
612,1,0.505685095304283
613,1,0.503609537896132
614,1,0.501561177422557
615,1,0.508522371203113
616,1,0.501823172311785
617,1,0.504720960094293
618,1,0.503464061609564
619,2,0.508668596341291
620,1,0.508197776027697
621,1,0.508046969427025
622,2,0.500010012901433
624,2,0.503926885205095
625,1,0.503502590085236
626,1,0.50803116664766
627,2,0.505366900372142
628,2,0.505093534434077
629,2,0.503236217594284
630,1,0.505326333169447
631,1,0.503883791401176
632,2,0.506580491830734
633,1,0.503134962772271
634,2,0.50620902535484
635,1,0.505382419769423
636,1,0.503799711754448
